CAREER_COMPANY_ID,CAREER_COMPANY_NAME,CAREER_DOMESTIC_YN
CC001,BlueSolutions,Y
CC002,BrightWorks,Y
CC003,HyperGroup,Y
CC004,DynamicSystems,N
CC005,NeoInsights,N
CC006,NovaData,Y
CC007,AgileConnect,Y
CC008,AlphaCorp,Y
CC009,BlueInsights,Y
CC010,NextAI,Y
CC011,AlphaSystems,Y
CC012,AlphaLogics,N
CC013,SynergyVision,Y
CC014,NovaVision,N
CC015,GlobalConnect,N
CC016,QuantumWorks,Y
CC017,NeoVision,Y
CC018,VertexVision,N
CC019,RedLogics,Y
CC020,HyperSystems,Y
CC021,StellarSolutions,Y
CC022,NextNetworks,Y
CC023,SmartConnect,Y
CC024,HyperDynamics,Y
CC025,DynamicNetworks,Y
CC026,BrightEnterprises,Y
CC027,QuantumData,Y
CC028,GlobalCloud,N
CC029,HyperTech,N
CC030,StellarVision,N
CC031,QuantumGroup,Y
CC032,FutureNetworks,N
CC033,BlueEnterprises,Y
CC034,RedGroup,Y
CC035,GlobalEnterprises,Y
CC036,CoreDigital,N
CC037,VertexDigital,Y
CC038,ZenithInsights,Y
CC039,AlphaWorks,Y
CC040,DynamicSoft,Y
CC041,QuantumAI,Y
CC042,BlueVision,Y
CC043,VertexEnterprises,Y
CC044,StellarAI,Y
CC045,HyperDigital,Y
CC046,SynergyTech,Y
CC047,CoreEnterprises,Y
CC048,DynamicVision,Y
CC049,ZenithCloud,Y
CC050,AlphaLabs,Y
CC051,StellarInnovations,Y
CC052,PinnacleSoft,Y
CC053,NovaInsights,Y
CC054,VertexConnect,Y
CC055,BrightLogics,N
CC056,FutureTech,Y
CC057,NovaWorks,Y
CC058,AlphaConnect,Y
CC059,BlueLabs,Y
CC060,SmartSolutions,Y
CC061,StellarEnterprises,Y
CC062,StellarTech,Y
CC063,StellarDigital,Y
CC064,SmartTech,Y
CC065,AlphaSolutions,Y
CC066,QuantumSystems,Y
CC067,VertexSoft,Y
CC068,BrightGroup,Y
CC069,NextCorp,Y
CC070,CoreCloud,N
CC071,AgileSolutions,Y
CC072,FutureSolutions,Y
CC073,RedInsights,Y
CC074,ZenithNetworks,Y
CC075,DynamicTech,Y
CC076,NextVision,N
CC077,AgileInsights,Y
CC078,PinnacleConnect,Y
CC079,HyperWorks,Y
CC080,FutureLogics,Y
CC081,QuantumInsights,Y
CC082,VertexNetworks,N
CC083,StellarLogics,Y
CC084,RedDynamics,Y
CC085,NovaSolutions,Y
CC086,AgileData,Y
CC087,CoreAI,N
CC088,ZenithAI,Y
CC089,BrightLabs,Y
CC090,FutureVision,Y
CC091,NovaLabs,Y
CC092,SynergyNetworks,Y
CC093,VertexInnovations,Y
CC094,SynergyInnovations,Y
CC095,QuantumNetworks,N
CC096,HyperLogics,Y
CC097,CoreInsights,Y
CC098,BrightAI,Y
CC099,PinnacleDynamics,Y
CC100,SmartVision,Y
CC101,RedSystems,Y
CC102,VertexInsights,Y
CC103,NeoEnterprises,Y
CC104,SmartSoft,Y
CC105,BlueSystems,Y
CC106,SmartGroup,Y
CC107,DynamicCloud,N
CC108,AgileAI,Y
CC109,NovaTech,Y
CC110,NeoLogics,Y
CC111,NovaNetworks,Y
CC112,FutureSoft,N
CC113,NovaSoft,Y
CC114,PinnacleSystems,Y
CC115,NextDigital,Y
CC116,PinnacleSolutions,Y
CC117,HyperSolutions,N
CC118,PinnacleAI,N
CC119,GlobalLabs,Y
CC120,RedCloud,Y
